Timestamp,MovingAverage
2023-11-26 23:01:31,43720.5
2023-11-26 23:01:32,43722.78333333333
2023-11-26 23:01:33,43724.3
2023-11-26 23:01:34,43725.666666666664
2023-11-26 23:01:35,43725.6
2023-11-26 23:01:36,43725.4
2023-11-26 23:01:37,43725.666666666664
2023-11-26 23:01:38,43725.9
2023-11-26 23:01:39,43726.450000000004
2023-11-26 23:01:40,43726.433333333334
2023-11-26 23:01:41,43726.75
2023-11-26 23:01:42,43727.416666666664
2023-11-26 23:01:43,43726.433333333334
2023-11-26 23:01:44,43725.0
2023-11-26 23:01:45,43722.5
2023-11-26 23:01:46,43721.76666666667
2023-11-26 23:01:47,43721.03333333333
2023-11-26 23:01:48,43721.38333333333
2023-11-26 23:01:49,43722.36666666667
2023-11-26 23:01:50,43724.46666666667
2023-11-26 23:01:51,43726.183333333334
2023-11-26 23:01:52,43727.05
2023-11-26 23:01:53,43727.15
2023-11-26 23:01:54,43728.1
2023-11-26 23:01:55,43729.15
2023-11-26 23:01:56,43729.8
2023-11-26 23:01:57,43729.53333333333
2023-11-26 23:01:58,43729.25
2023-11-26 23:01:59,43728.98333333333
2023-11-26 23:02:00,43728.683333333334
2023-11-26 23:02:01,43728.066666666666
2023-11-26 23:02:02,43728.1
2023-11-26 23:02:03,43728.21666666667
2023-11-26 23:02:04,43727.4
2023-11-26 23:02:05,43726.583333333336
2023-11-26 23:02:06,43725.95
2023-11-26 23:02:07,43727.0
2023-11-26 23:02:08,43727.46666666667
2023-11-26 23:02:09,43727.183333333334
2023-11-26 23:02:10,43725.98333333333
2023-11-26 23:02:11,43725.53333333333
2023-11-26 23:02:12,43725.6
2023-11-26 23:02:13,43725.933333333334
2023-11-26 23:02:14,43725.73333333333
2023-11-26 23:02:15,43726.26666666666
2023-11-26 23:02:16,43726.61666666667
2023-11-26 23:02:17,43726.6
2023-11-26 23:02:18,43724.833333333336
2023-11-26 23:02:19,43722.416666666664
2023-11-26 23:02:20,43720.05
2023-11-26 23:02:21,43718.683333333334
2023-11-26 23:02:22,43717.88333333333
2023-11-26 23:02:23,43717.816666666666
2023-11-26 23:02:24,43718.0
2023-11-26 23:02:25,43718.38333333333
2023-11-26 23:02:26,43718.566666666666
2023-11-26 23:02:27,43717.933333333334
2023-11-26 23:02:28,43717.86666666667
